id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
482765,Beautiful Brooklyn Brownstone,2389885,Megan,Brooklyn,Fort Greene,40.68834,-73.97875,Private room,100,2,112,2019-06-30,1.3,2,12
490278,Lovely 1BR - Midtown East by metro!,2424873,A.B.,Manhattan,Midtown,40.75632,-73.96464,Entire home/apt,99,14,30,2018-03-02,0.35,1,317
571564,large spacious room,1141935,Ana,Brooklyn,Crown Heights,40.67436,-73.94807,Private room,95,1,123,2019-06-02,1.47,3,359
595321,Williamsburg Peace for the Solo Traveler,898980,Kelly,Brooklyn,Williamsburg,40.71316,-73.94532,Private room,77,3,5,2018-10-21,0.08,1,0
629855,Big Room in Williamsburg Loft,155163,Niral,Brooklyn,Williamsburg,40.71382,-73.94164,Private room,85,2,14,2018-10-28,0.19,1,0
638898,Apt Near Central Park & Columbia!,1583594,Jeffrey,Manhattan,Upper West Side,40.79913,-73.96057,Private room,60,2,19,2015-09-23,0.23,1,0
640589,Sweet Super Bowl Accomodations,3198479,Gina,Manhattan,West Village,40.73727,-74.00213,Entire home/apt,700,5,1,2012-09-18,0.01,1,365
652515,COLUMBUS CIRCLE~FULLY FURNISHED!!!,1475015,Mike,Manhattan,Hell's Kitchen,40.76758,-73.98722,Entire home/apt,85,30,2,2016-08-15,0.04,52,223
683084,Midtown West- A COZY ONE bedroom.,3480879,Danny,Manhattan,Chelsea,40.75286,-74.00162,Entire home/apt,199,6,40,2017-10-15,0.5,1,0
692137,Stunning 3BR loft in Williamsburg!!!!,3538661,Phillip,Brooklyn,Williamsburg,40.71428,-73.961,Entire home/apt,380,4,62,2019-01-02,0.75,2,170
699348,Peaceful double room in Brooklyn Brownstone,279845,Chantille & Linda,Brooklyn,Prospect Heights,40.67793,-73.96577,Private room,78,4,190,2019-01-04,2.3,2,188
725270,Very Large Loft in Chelsea for  Your Stay!!,3750402,Alexander,Manhattan,Flatiron District,40.74056,-73.99262,Entire home/apt,375,2,33,2019-05-15,0.84,1,346
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Eric,Brooklyn,Williamsburg,40.71714,-73.95447,Shared room,195,2,80,2017-05-26,0.98,1,364
767967,Studio in Chelsea,3949235,Lior,Manhattan,Chelsea,40.75039,-74.00287,Entire home/apt,105,7,2,2019-03-19,0.5,1,0
774899,Unique West Village Loft with Deck,266210,Charles,Manhattan,West Village,40.73461,-74.00594,Shared room,350,2,13,2015-10-19,0.17,1,0
804815,Washington Heights homestay,4112902,Tiffany,Manhattan,Washington Heights,40.83329,-73.93834,Private room,36,1,33,2019-06-18,0.77,1,211
832596,Spacious 1 BR Near the Water UES,1723222,Nick,Manhattan,Upper East Side,40.77613,-73.94872,Entire home/apt,250,4,1,2016-05-24,0.03,1,0
834088,Charming Private room in Greenpoint,4363775,O.,Brooklyn,Greenpoint,40.73184,-73.95802,Private room,55,11,11,2018-08-31,0.23,3,11
893413,Architecturally Stunning Former Synagogue!,4751930,Martin,Manhattan,East Village,40.72668,-73.98179,Entire home/apt,2500,30,15,2019-07-01,0.26,1,89
944049,Beautiful 1BR in Prime West Village,1908073,Andrew,Manhattan,West Village,40.73194,-74.00189,Entire home/apt,200,4,45,2019-07-01,0.59,1,48
969463,Artsy Fashion Pad in the Heart of Williamsburg,1447988,Patrick And Erin,Brooklyn,Williamsburg,40.71916,-73.95696,Entire home/apt,150,2,11,2018-10-15,0.14,1,364
1077375,Private RM 15min from the Manhattan,5855145,Edward,Queens,Astoria,40.75959,-73.90835,Private room,70,1,136,2019-06-23,1.81,2,359
1294973,PRIVATE BEDROOM IN COMFY & CHIC UWS APT!,7041410,Jeffrey,Manhattan,Upper West Side,40.79475,-73.976,Private room,140,5,90,2019-06-30,1.37,1,16
1354973,Gorgeous spacious. 2 subways close,306394,Marialuisa,Brooklyn,Bedford-Stuyvesant,40.6842,-73.9177,Private room,59,1,123,2019-06-30,2.23,1,336
1492286,West Village/SoHo Prvt Rm,7977178,Abby,Manhattan,SoHo,40.72822,-74.00429,Private room,80,3,51,2019-04-26,0.79,3,276
1524302,Huge 1 Bedroom Loft at Habitat 101!,7503643,Vida,Brooklyn,Greenpoint,40.72686,-73.94177,Entire home/apt,149,30,7,2018-10-31,0.11,52,281
1688711,Luxury Room in Landmark House,8792814,Caroline,Brooklyn,Prospect-Lefferts Gardens,40.66359,-73.95235,Private room,85,1,40,2019-06-07,0.83,10,293
1911333,A room with private bathroom,9917136,Rani,Brooklyn,Bedford-Stuyvesant,40.67814,-73.92375,Private room,45,29,12,2018-11-11,0.18,3,337
1914590,Nice clean large Bedroom in Astoria,6194487,Rocio & James,Queens,Astoria,40.76425,-73.90489,Private room,79,1,108,2019-05-30,2.68,3,313
1929540,2 floor loft in Gramercy park,6846161,Stefano,Manhattan,Kips Bay,40.73772,-73.98025,Entire home/apt,175,3,9,2014-06-21,0.13,1,0
1944891,Spacious one bedroom apartment,861330,Joseph,Brooklyn,Williamsburg,40.70139,-73.94499,Entire home/apt,49,7,0,,,3,0
1948494,Amazing 550 Sq Ft Studio Apartment.,9950152,Dawn & Vernon,Brooklyn,East Flatbush,40.63803,-73.94894,Entire home/apt,97,3,177,2019-07-07,2.64,1,272
1965103,Quiet and Sunny studio in EV,10150931,Pierre,Manhattan,East Village,40.72811,-73.98663,Entire home/apt,170,2,7,2016-09-25,0.11,1,312
2071446,Inspiring spacious loft space,3608781,Katja,Brooklyn,Williamsburg,40.71955,-73.96049,Private room,94,2,129,2019-02-23,2.22,1,188
2107696,Entire 2 BED APARTMENT - WILLIAMSBURG- Best Price,9265204,Gianni,Brooklyn,Williamsburg,40.70765,-73.94821,Entire home/apt,210,3,7,2019-06-10,0.1,2,343
2107939,Private Single Room Steps to Subway,1318137,Adriano,Brooklyn,Bedford-Stuyvesant,40.69193,-73.9274,Private room,55,3,70,2019-05-27,1.11,2,285
2243321,A cozy apartment,11457662,Indie,Brooklyn,Bensonhurst,40.60931,-73.99847,Entire home/apt,45,2,28,2018-01-02,0.43,2,0
2252844,Great place to crash for Super Bowl,11505536,Alex,Manhattan,East Village,40.73046,-73.9921,Private room,500,1,0,,,1,0
2297951,Working Fireplace in TriBeCa loft,7636125,Kristen,Manhattan,Tribeca,40.72035,-74.00493,Private room,70,14,0,,,1,0
2359340,ART COLLECTORS APARTMENT - TIMES SQUARE-10TH AV.,3793026,Andreas,Manhattan,Hell's Kitchen,40.76349,-73.98985,Entire home/apt,250,5,176,2018-10-08,2.72,1,0
2367089,Full Apt w/ large kitchen in UES,12092726,Alice,Manhattan,Upper East Side,40.78092,-73.95162,Entire home/apt,155,1,75,2017-02-19,1.3,1,0
2467087,BEAUTIFUL ARTIST APT IN NOLITA w/ Private Backyard,12616627,Nico,Manhattan,Nolita,40.72297,-73.99539,Entire home/apt,250,1,2,2016-01-02,0.05,1,0
2532068,Beautiful Prewar UWS Apartment,12967572,Laura,Manhattan,Upper West Side,40.77929,-73.97787,Private room,65,1,1,2015-09-01,0.02,1,0
2637014,Apt #2: Beautiful 2BR/1BA Crown Hgt,13503154,Clayon Elizabeth,Brooklyn,Crown Heights,40.67228,-73.93352,Entire home/apt,150,28,22,2019-01-05,0.38,2,207
2707824,Bedroom with Queensize Bed in Nolita/SoHo,8373183,Arash,Manhattan,Nolita,40.72173,-73.99383,Private room,95,1,32,2018-09-09,0.75,1,0
2771126,Large Loft in Brooklyn  w/ Deck,2333018,Max,Brooklyn,Clinton Hill,40.68998,-73.96072,Entire home/apt,142,10,8,2019-01-03,0.13,1,157
2783468,Nice 1 Bedroom in Lovely Building,3187645,Ken,Manhattan,Upper East Side,40.77349,-73.95137,Entire home/apt,150,6,1,2014-04-28,0.02,1,0
2788298,Fort Greene Perfect Location,14262697,Eric,Brooklyn,Fort Greene,40.69056,-73.98038,Entire home/apt,150,3,1,2015-05-19,0.02,1,0
2854050,Cozy bedroom in the heart of Bushwick,6194657,Sylvia,Brooklyn,Bushwick,40.69727,-73.92373,Private room,100,20,0,,,1,0
2919578,Artist’s Pad Prospect Park,4282318,Al,Brooklyn,Flatbush,40.65387,-73.95973,Private room,45,1,91,2019-06-22,1.58,2,99
3029690,Safe Sunny South Facing Near All,7245581,Michael,Manhattan,Chelsea,40.74873,-73.99557,Entire home/apt,93,365,10,2018-02-12,0.17,19,97
3070876,Fantastic fully furnished room,2448006,El Haj,Manhattan,Harlem,40.80392,-73.94685,Private room,75,3,5,2016-10-20,0.1,3,325
3241287,Small Cozy Private Room in NYC,16399575,Kristiana,Manhattan,Washington Heights,40.83686,-73.94393,Private room,45,3,13,2016-01-02,0.21,1,0
3339399,west village 1BR!best value!,2119276,Host,Manhattan,West Village,40.73316,-74.00632,Entire home/apt,300,30,13,2019-05-20,0.24,39,291
3369929,Couch in E. Williamsburg Luxury Apt,1910452,Thuy,Brooklyn,Williamsburg,40.70586,-73.94135,Shared room,60,1,0,,,2,0
3395099,An Upper-Manhattan room of your own!,10657357,Ivan,Manhattan,Washington Heights,40.83328,-73.94511,Private room,51,6,20,2019-06-15,0.33,4,258
3487445,Sunny and Spacious 1 bedroom apt,2553182,Esty,Manhattan,Upper East Side,40.77097,-73.94848,Entire home/apt,350,1,0,,,1,0
3565617,Modern sunny one bed apt,17953139,Oisin,Manhattan,Lower East Side,40.7211,-73.98397,Entire home/apt,175,7,9,2018-12-07,0.27,1,255
3601743,Classic Brooklyn brownstone,18146661,Richard,Brooklyn,Park Slope,40.66884,-73.97575,Private room,180,3,192,2019-06-29,3.2,1,60
3758686,★ Convenience & Comfort Awaits!  ♥️ Your Stay! ★,19242857,O.D.,Brooklyn,Crown Heights,40.67472,-73.93,Entire home/apt,117,1,82,2019-06-16,1.39,1,280
3835766,Oasis in a Brownstone,18397763,Seun And Marie,Brooklyn,Bedford-Stuyvesant,40.68565,-73.93249,Private room,57,2,43,2019-05-26,0.72,7,58
3838388,Large Sunny Nicely Furnished Studio,19772879,Kim,Manhattan,Washington Heights,40.83818,-73.94303,Entire home/apt,100,1,0,,,1,0
3857180,Parkside Brooklyn Artist Apartment!,3861404,Stefanie,Brooklyn,Prospect-Lefferts Gardens,40.65575,-73.9609,Private room,150,5,11,2016-10-31,0.23,2,0
3962586,Sunny private room in Gramercy,20536249,Daphne,Manhattan,Gramercy,40.73371,-73.98576,Private room,150,1,1,2014-09-14,0.02,1,0
3999228,Best Location NYC! Studio in heart of The Village,14545465,Tom,Manhattan,West Village,40.73455,-74.00614,Entire home/apt,115,4,16,2017-03-17,0.27,1,0
4000561,Large apartment in Manhattan UWS,3325418,Patricia,Manhattan,Morningside Heights,40.80395,-73.96436,Entire home/apt,600,1,0,,,3,344
4054332,awesome location.,21026294,Gilda,Brooklyn,Park Slope,40.67017,-73.97752,Private room,103,30,45,2016-10-05,0.82,1,0
4116403,Bright Room in Great Location,4314639,Brad,Brooklyn,Crown Heights,40.67284,-73.9521,Private room,65,1,0,,,1,0
4129992,Country in the City,20169986,Victoria,Brooklyn,Flatbush,40.63146,-73.96486,Entire home/apt,85,3,12,2018-09-21,0.21,1,97
4144519,1 Bedroom & Semi- Private Living Area,1756624,Samer,Queens,Sunnyside,40.74059,-73.91985,Private room,79,3,23,2018-08-31,0.4,1,88
4188807,Spacious Bedroom in a Brooklyn House,4152484,Oates + Bill,Brooklyn,Prospect-Lefferts Gardens,40.66018,-73.96005,Private room,72,1,229,2019-06-24,3.94,1,20
4199411,Greenwich Village Living!,21787420,Mo,Manhattan,East Village,40.73062,-73.99122,Entire home/apt,350,2,0,,,1,0
4218129,Special OFFER on Airbnb NYC Room!,21641206,Veronica,Brooklyn,Bedford-Stuyvesant,40.69527,-73.94786,Private room,59,1,350,2019-06-24,6.05,4,328
4227018,Amazing View in East Williamsburg ,21937306,William,Brooklyn,Williamsburg,40.71752,-73.94187,Shared room,150,1,0,,,1,0
4235843,Charming Bedroom Bright and Cozy A2,20559017,Yohan,Manhattan,East Harlem,40.78627,-73.94316,Private room,55,30,4,2018-08-27,0.07,9,339
4331691,Full apartment - cute & quirky,22490457,Danielle,Manhattan,Lower East Side,40.71845,-73.986,Entire home/apt,95,10,2,2016-11-17,0.04,1,0
4384820,N 6th & Bedford PRIME Williamsburg ,22764554,Linda,Brooklyn,Williamsburg,40.71797,-73.95981,Private room,135,1,1,2014-11-04,0.02,1,0
4455094,West Village Style and Charm,13541655,Michael,Manhattan,West Village,40.73014,-74.00754,Private room,159,2,150,2019-06-28,3.19,1,54
4494217,Stylish West Village Artists Penthouse Loft,22720650,Duane,Manhattan,West Village,40.73604,-74.0056,Entire home/apt,130,30,1,2018-12-24,0.15,2,0
4531802,Sunny East Village 1 Bedroom,6197480,Christine,Manhattan,East Village,40.72568,-73.98823,Entire home/apt,200,2,0,,,1,0
4537389,New Years In New York City,22927481,Howard,Manhattan,Midtown,40.76377,-73.98103,Private room,400,3,0,,,3,0
4553721,Art Large bedroom  Brownstone for 1 or 2 persons,2480939,Charles,Brooklyn,Williamsburg,40.71994,-73.9599,Private room,90,1,194,2019-07-05,3.81,3,229
4573897,Private BR in 2 BR Modern Apartment,21935479,Crysdian,Manhattan,Inwood,40.86821,-73.92128,Private room,76,2,70,2019-06-08,1.37,1,352
4594389,Furnished 2BR in UES (30 DAYS MIN),23772724,Elem,Manhattan,Upper East Side,40.78302,-73.94647,Entire home/apt,110,30,12,2019-02-18,0.27,15,332
4694179,Artsy and Cozy 1b. - Walk Everywhere!,3753306,Michelle,Manhattan,Gramercy,40.73287,-73.98585,Entire home/apt,180,1,1,2017-09-15,0.05,1,0
4726749,Harlem,11686822,Douglas,Manhattan,Harlem,40.81169,-73.94301,Private room,75,1,0,,,1,0
4730371,Hipster-Chic Bushwick Apartment,6898927,Sarah,Brooklyn,Bushwick,40.69738,-73.91162,Private room,33,2,9,2019-01-01,0.19,1,0
4756125,Habitación muy soleada en Bushwick!,2702777,Vicky,Brooklyn,Bushwick,40.6984,-73.91476,Private room,55,1,0,,,1,0
4783738,MODERN Luxury Hotel Residence in Midtown,7655962,Dee J,Manhattan,Hell's Kitchen,40.7574,-73.99361,Entire home/apt,99,6,11,2018-11-01,0.22,1,0
4787201,Sunny and Spacious Brooklyn Apartment,7365719,Annika,Brooklyn,Bedford-Stuyvesant,40.67958,-73.94581,Entire home/apt,150,5,12,2018-08-19,0.24,1,9
4808239,Loft Studio Near UN Building-30 days min stay,23982388,Jolie,Manhattan,Midtown,40.75248,-73.96695,Entire home/apt,95,30,3,2016-03-15,0.06,5,318
4823105,Cozy Affordable Room Available In NYC!!,24835471,Olga,Manhattan,Washington Heights,40.84359,-73.94134,Private room,40,3,23,2019-06-29,0.43,1,70
4838271,Modern fully furnished bedroom,1304390,Barry,Brooklyn,Bushwick,40.70037,-73.92821,Private room,85,4,2,2018-07-02,0.07,1,364
4841187,Well-kept Studio/♥ of Chelsea,14923355,Ra-Ey,Manhattan,Chelsea,40.74583,-74.00405,Entire home/apt,200,3,7,2017-07-12,0.13,1,0
4846754,Basement apartment in bedstuy,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68266,-73.95032,Entire home/apt,60,1,23,2019-07-05,1.99,15,83
4874334,2 Bedroom Apt in downtown Brooklyn,25073318,Brook,Brooklyn,Fort Greene,40.69203,-73.97088,Entire home/apt,250,4,0,,,1,0
4887250,VICTORIAN SUNFILLED APT DREAM VIEW,1705071,Nika,Queens,Long Island City,40.74741,-73.94712,Private room,95,1,141,2019-06-24,2.77,2,331
4947174,Open Room for 12 Days this February,25412718,Benjamin,Brooklyn,Crown Heights,40.66948,-73.93638,Private room,50,5,0,,,1,0
4958223,Beautiful Central Park View,25517905,Andreias,Manhattan,Upper West Side,40.7962,-73.96156,Private room,99,1,277,2019-06-23,5.44,3,294
5011693,Harlem Studio w/ view!!,8834234,Jeremy,Manhattan,Harlem,40.81419,-73.95033,Entire home/apt,85,2,25,2019-06-09,0.52,1,58
5054072,*SPLENDID* Fantastic 2 BR Apt near many Hospitals,25237492,Juliana,Manhattan,Upper East Side,40.7606,-73.96028,Entire home/apt,155,30,17,2019-02-02,0.32,34,316
5096158,Fun Space in the Heart of Williamsburg,21201361,Jamie,Brooklyn,Williamsburg,40.71102,-73.95627,Private room,79,1,1,2018-08-26,0.09,1,89
5240711,2 BEDROOM IN MIDTOWN EAST,27121854,Olga,Manhattan,Midtown,40.75239,-73.9707,Entire home/apt,289,10,169,2019-01-02,3.23,1,3
5279925,Apt available - Best NYC Location,153675,Matteo,Manhattan,East Village,40.73279,-73.98746,Entire home/apt,140,12,1,2015-09-01,0.02,2,164
5345293,Historic Landmark Neighborhood,27700855,Peter,Brooklyn,Brooklyn Heights,40.69165,-73.99764,Entire home/apt,300,2,62,2019-06-30,1.19,1,274
5364134,Sunny Park Slope Bedroom,3201774,Ashley,Brooklyn,South Slope,40.66305,-73.9886,Private room,73,1,199,2019-07-02,4.15,2,142
5392517,A Spacious Private Peaceful Studio,1509452,Sayam,Brooklyn,Crown Heights,40.67494,-73.95841,Entire home/apt,80,15,2,2015-10-31,0.04,1,0
5580648,SunnyPrivateRoom TrendyNeighborhood,21497854,Meaghan,Brooklyn,Bushwick,40.70124,-73.92218,Private room,45,2,13,2015-08-17,0.25,1,0
5691347,Lovely studio - Clinton Hill/Barclays Center area.,26264587,Nancy,Brooklyn,Clinton Hill,40.68319,-73.96766,Entire home/apt,135,14,20,2019-06-13,0.46,1,41
5717355,Private 1 BR Apt in Exciting Bushwick,29641189,Joseph,Brooklyn,Williamsburg,40.70314,-73.93656,Private room,90,2,3,2019-06-02,1.73,1,18
5749889,Sunny back bedroom in duplex,16727332,Emily,Brooklyn,Park Slope,40.66801,-73.98142,Private room,85,7,0,,,1,0
5803068,AFFORDABLE COZY PRIVATE ROOM,16151285,Carol,Bronx,Williamsbridge,40.8789,-73.84855,Private room,45,14,27,2018-01-01,0.55,4,325
5850040,The Charmer - Straight shot from JFK Arprt!,5541374,Hassan And Patti,Brooklyn,Bushwick,40.68691,-73.91317,Private room,89,3,116,2019-06-24,2.24,5,83
5873309,Columbia University Dorm,30498160,Celia,Manhattan,Upper West Side,40.8034,-73.96832,Shared room,40,1,0,,,1,0
6180741,2BR  Lower East Side,14318669,Grady & Cristina,Manhattan,Lower East Side,40.71526,-73.9867,Entire home/apt,210,2,44,2017-05-25,1.16,1,0
6185629,Large Room with a Balcony *10 mins to Manhattan*,32083955,Esin,Brooklyn,Bedford-Stuyvesant,40.69542,-73.9497,Private room,100,14,0,,,1,123
6188022,Handsome historic Greenpoint 2BR,1811344,Jennifer,Brooklyn,Greenpoint,40.73163,-73.95434,Entire home/apt,225,3,1,2015-08-01,0.02,1,0
6297266,Cozy Family Home. Two Floors,32745492,Tami,Brooklyn,Sunset Park,40.66066,-73.99257,Entire home/apt,100,10,5,2017-04-23,0.1,1,0
6345728,Dwtn 1 Bedroom W/Spectacular Views,13275837,Jaime,Manhattan,Greenwich Village,40.73109,-73.99411,Entire home/apt,190,3,7,2017-04-10,0.15,1,0
6356366,Extra Large 1 Bdroom Sunny/Spacious,33113275,Iz,Manhattan,East Village,40.72872,-73.98043,Entire home/apt,249,3,3,2015-10-21,0.06,1,0
6401592,Brooklyn Summer,10645724,Daliso,Brooklyn,Crown Heights,40.67704,-73.93955,Private room,55,7,0,,,1,0
6402712,Private Room in Astoria,30166510,Alina,Queens,Astoria,40.77006,-73.93043,Private room,50,1,1,2015-08-10,0.02,1,0
6449238,Astoria next to Beer Garden!,517772,Faye,Queens,Ditmars Steinway,40.77387,-73.91778,Entire home/apt,70,4,2,2015-09-17,0.04,1,0
6492864,Private Artisitic Room East Village,1480124,Goldwyn,Manhattan,East Village,40.72174,-73.98418,Private room,82,3,11,2015-09-26,0.23,1,0
6589412,Beautiful Park Slope Brownstone,34748949,Julienne,Brooklyn,Park Slope,40.67533,-73.9793,Entire home/apt,350,7,0,,,1,0
6601120,Entire place in Williamsburg. Rustic Den.,34534668,Gohe,Brooklyn,Williamsburg,40.71297,-73.96409,Entire home/apt,165,2,5,2018-04-29,0.27,1,0
6659165,Room available in BUSHWICK!,12720552,Julie,Brooklyn,Bushwick,40.70168,-73.92845,Private room,70,1,20,2019-05-27,0.42,5,332
6784171,Bright and Clean Little Italy Apt.,18268348,Paul,Manhattan,Little Italy,40.71968,-73.9968,Private room,110,4,12,2017-08-02,0.26,1,0
6880990,En suite room  Upper West Side,36055888,Ryan,Manhattan,Harlem,40.83019,-73.94991,Private room,75,2,1,2015-07-26,0.02,1,0
6947017,Private room. Amazing location!,35968845,Andre,Manhattan,Upper West Side,40.79421,-73.97097,Private room,89,3,1,2015-07-26,0.02,2,0
6973598,Large bedroom in Astoria/LIC area,36566148,Felicia,Queens,Long Island City,40.75328,-73.92244,Private room,55,1,5,2015-07-28,0.1,1,0
7006151,Warm Cozy Manhattan Studio,36727985,Patricia,Manhattan,Midtown,40.74379,-73.98795,Entire home/apt,177,3,22,2019-06-21,0.45,1,0
7245289,Charming 2BR apartment in Brooklyn,9481957,Joanna,Brooklyn,Bushwick,40.69818,-73.91356,Entire home/apt,210,1,0,,,1,0
7294225,East Vlg 2 bdrm Private Apt - 1 Block to Union Sq,10353278,James,Manhattan,East Village,40.73125,-73.98675,Entire home/apt,480,3,2,2016-08-01,0.04,2,0
7329781,NoLita Design Studio,38398698,Andrew,Manhattan,Nolita,40.72044,-73.99568,Entire home/apt,650,6,14,2018-06-26,0.29,1,90
7332196,Bright and Hip in Morningside,5628243,Drew,Manhattan,Harlem,40.81024,-73.9525,Private room,95,1,10,2017-01-17,0.21,1,0
7359878,Bedroom in 4bed/1bath in Brooklyn!,13896003,Shane,Brooklyn,Bedford-Stuyvesant,40.68725,-73.95472,Private room,50,1,0,,,1,0
7364008,Bohéme 1BR steps from Prospect Park,38583557,Ian,Brooklyn,Flatbush,40.65349,-73.95527,Entire home/apt,99,7,2,2015-08-17,0.04,1,0
7381038,South Slope Modern + Spacious with Outdoor Deck,16283468,Philip,Brooklyn,Sunset Park,40.66196,-73.99177,Private room,75,1,113,2019-06-18,2.33,2,233
7387862,Cozy bedroom in E. Village in July,38702813,Alexander,Manhattan,Lower East Side,40.72309,-73.98926,Private room,150,1,0,,,1,0
7434316,Parkside Brooklyn Artist Apartment!,3861404,Stefanie,Brooklyn,Prospect-Lefferts Gardens,40.65628,-73.96014,Private room,70,5,3,2015-09-22,0.06,2,0
7470123,Entire apartment in Williamsburg,39126862,Alexandra,Brooklyn,Williamsburg,40.70732,-73.95259,Entire home/apt,199,3,4,2016-01-04,0.08,2,0
7531309,Studio in the Heart of Wall Street,810560,Jen,Manhattan,Financial District,40.70552,-74.00841,Entire home/apt,190,1,3,2015-07-25,0.06,1,0
7563487,Great private room open for Aug!!,3353772,Jackie,Brooklyn,Williamsburg,40.70889,-73.94113,Private room,75,1,1,2015-08-04,0.02,1,0
7725042,1BR in a 3BR Apt by Columbia,23715762,Joon,Manhattan,Upper West Side,40.80113,-73.96566,Private room,50,1,0,,,1,0
7824945,Small Room on the Upper West Side,37138145,C,Manhattan,Upper West Side,40.80111,-73.96539,Private room,75,1,205,2019-07-03,4.32,2,197
7901715,Cozy bedroom with full-size bed,29599415,Zhaoyu,Manhattan,Harlem,40.80356,-73.95666,Private room,60,1,2,2015-09-15,0.04,1,0
7953819,Lovely Brooklyn Brownstone w Yard,2665690,Mercedes,Brooklyn,Bedford-Stuyvesant,40.68432,-73.93227,Entire home/apt,150,30,10,2017-01-03,0.25,1,30
8067738,Rm @Top Floor of a Luxury Building!,3958647,Yegor,Brooklyn,Bushwick,40.69955,-73.92225,Private room,90,3,0,,,1,0
8101258,Cozy Studio Apartment,39156453,Yessenia,Brooklyn,South Slope,40.66594,-73.98814,Entire home/apt,110,2,10,2016-06-19,0.22,1,0
8186068,Bright&Beautiful BR in Williamsburg,2182167,Mez,Brooklyn,Williamsburg,40.71288,-73.94137,Private room,80,2,2,2015-09-23,0.04,1,0
8191699,Studio near Central Park.,13184549,Mila,Manhattan,Upper East Side,40.77569,-73.95202,Entire home/apt,140,7,3,2016-08-14,0.06,1,0
8213488,Bed-Stuy Gem with Private Entrance,28025816,Bridgett,Brooklyn,Bedford-Stuyvesant,40.68805,-73.95103,Private room,70,2,255,2019-06-27,5.46,1,11
8275331,Affordable and Spacious room,32379616,Fabiola,Bronx,Williamsbridge,40.88301,-73.85452,Private room,65,5,17,2017-10-03,0.4,2,123
8308683,Couples' Nest.,10129919,Jorge,Brooklyn,Cypress Hills,40.68537,-73.8775,Entire home/apt,75,3,160,2019-06-20,3.44,2,256
8391035,Private room in Washington Heights,2321776,Hugo,Manhattan,Washington Heights,40.83368,-73.94314,Private room,80,4,0,,,1,0
8566656,Harlem Cozy One Bedroom,6178560,Alan,Manhattan,Harlem,40.81951,-73.93715,Entire home/apt,131,1,0,,,1,0
