Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound of the annual temperature anomaly (95% confidence interval),Lower bound of the annual temperature anomaly (95% confidence interval)
Global,,1934,-0.17433685,-0.07466974,-0.27400395
Global,,1935,-0.20605923,-0.10862113,-0.30349734
Global,,1936,-0.16952094,-0.07552263,-0.26351926
Global,,1937,-0.019198947,0.08136088,-0.11975877
Global,,1938,-0.012200737,0.08590227,-0.110303745
Global,,1939,-0.040797204,0.06511029,-0.14670469
Global,,1940,0.07593582,0.19382133,-0.041949686
Global,,1941,0.0381293,0.23851252,-0.16225392
Global,,1942,0.0014060677,0.19802456,-0.19521242
Global,,1943,0.0064215823,0.21242628,-0.19958311
Global,,1944,0.14410514,0.3427051,-0.05449483
Global,,1945,0.043088354,0.24345961,-0.1572829
Global,,1946,-0.11881461,0.028321814,-0.26595104
Global,,1947,-0.09120561,0.049379256,-0.23179047
Global,,1948,-0.12466127,0.009810847,-0.25913337
Global,,1949,-0.14380223,-0.033526964,-0.25407746
Global,,1950,-0.2266218,-0.120586626,-0.33265698
Global,,1951,-0.06115396,0.028042309,-0.15035023
Global,,1952,0.015354548,0.11364508,-0.08293598
Global,,1953,0.07763075,0.17579111,-0.020529611
Global,,1954,-0.11675023,-0.02499773,-0.20850272
Global,,1955,-0.19730994,-0.11018991,-0.28442997
Global,,1956,-0.26316562,-0.18720558,-0.33912566
Global,,1957,-0.035334915,0.029898778,-0.10056861
Global,,1958,-0.017632563,0.04780944,-0.08307456
Global,,1959,-0.048004813,0.014354111,-0.11036374
Global,,1960,-0.11545958,-0.056781605,-0.17413756
Global,,1961,-0.019999769,0.030780297,-0.07077983
Global,,1962,-0.06404272,-0.010776198,-0.117309235
Global,,1963,-0.036810614,0.016958548,-0.09057977
Global,,1964,-0.30586153,-0.26222858,-0.34949452
Global,,1965,-0.20442048,-0.15523025,-0.2536107
Global,,1966,-0.1488976,-0.09938603,-0.19840918
Global,,1967,-0.117539294,-0.07442179,-0.1606568
Global,,1968,-0.16864756,-0.12401963,-0.21327549
Global,,1969,-0.03138624,0.009118891,-0.071891375
Global,,1970,-0.08506408,-0.044075526,-0.12605265
Global,,1971,-0.20588905,-0.16730586,-0.24447224
Global,,1972,-0.09379131,-0.055899136,-0.1316835
Global,,1973,0.04995016,0.0864213,0.013479018
Global,,1974,-0.17252657,-0.13482748,-0.21022564
Global,,1975,-0.110754214,-0.07020333,-0.15130511
Global,,1976,-0.2158369,-0.17581315,-0.25586063
Global,,1977,0.1030885,0.14612031,0.06005668
Global,,1978,0.0052559716,0.045108557,-0.034596615
Global,,1979,0.09085814,0.11935765,0.062358625
Global,,1980,0.19607204,0.2293401,0.16280398
Global,,1981,0.25001204,0.28063282,0.21939126
Global,,1982,0.034268282,0.0736452,-0.0051086354
Global,,1983,0.22380984,0.25957537,0.18804431
Global,,1984,0.04799352,0.08444688,0.011540157
Global,,1985,0.049729742,0.08379605,0.015663432
Global,,1986,0.09568698,0.12696595,0.064408004
Global,,1987,0.2430264,0.27386728,0.21218552
Global,,1988,0.2821517,0.31726816,0.24703526
Global,,1989,0.1792503,0.21400218,0.14449841
Global,,1990,0.36058238,0.39659604,0.32456872
Global,,1991,0.33889654,0.3737569,0.30403617
Global,,1992,0.12489683,0.15891157,0.09088211
Global,,1993,0.16570719,0.20319764,0.12821673
Global,,1994,0.23354979,0.26868662,0.19841295
Global,,1995,0.37686613,0.41007653,0.34365577
Global,,1996,0.27668938,0.31019875,0.24318002
Global,,1997,0.4223085,0.4545262,0.39009085
Global,,1998,0.5773417,0.61161464,0.54306877
Global,,1999,0.32448497,0.3561352,0.29283476
Global,,2000,0.33108476,0.36394167,0.29822785
Global,,2001,0.48928034,0.5204924,0.4580683
Global,,2002,0.5434665,0.57415116,0.51278186
Global,,2003,0.54417014,0.5770977,0.5112426
Global,,2004,0.46737072,0.5004031,0.43433833
Global,,2005,0.6068625,0.63801974,0.5757053
Global,,2006,0.5725527,0.60313237,0.541973
Global,,2007,0.5917013,0.62204945,0.56135315
Global,,2008,0.46564984,0.49864236,0.43265733
Global,,2009,0.5967816,0.62830764,0.5652556
Global,,2010,0.6803714,0.7116668,0.6490759
Global,,2011,0.53769773,0.5693943,0.5060012
Global,,2012,0.57760704,0.61035883,0.54485524
Global,,2013,0.6235753,0.6586669,0.5884838
Global,,2014,0.67287165,0.7068384,0.63890487
Global,,2015,0.8251144,0.85894173,0.7912871
Global,,2016,0.9329271,0.96409065,0.9017635
Global,,2017,0.84517425,0.87557375,0.81477475
Global,,2018,0.76265407,0.79425603,0.73105204
Global,,2019,0.8910726,0.9253579,0.85678726
Global,,2020,0.9229205,0.95754296,0.8882981
Global,,2021,0.76190555,0.7983534,0.7254577
Global,,2022,0.8013053,0.837353,0.76525766
Global,,2023,1.1003127,1.1389748,1.0616506
Global,,2024,1.2314565,1.3590937,1.1038193
Northern hemisphere,,1850,-0.4358963,-0.23598108,-0.63581157
Northern hemisphere,,1851,-0.21924901,-0.010099963,-0.42839807
Northern hemisphere,,1852,-0.23570205,-0.013715232,-0.45768887
Northern hemisphere,,1853,-0.24539217,-0.0275854,-0.46319896
Northern hemisphere,,1854,-0.17468971,0.021511175,-0.3708906
Northern hemisphere,,1855,-0.2455743,-0.041025933,-0.45012265
Northern hemisphere,,1856,-0.33354086,-0.12911248,-0.53796923
Northern hemisphere,,1857,-0.45139664,-0.24845001,-0.65434325
Northern hemisphere,,1858,-0.3586044,-0.15512446,-0.5620843
Northern hemisphere,,1859,-0.24778351,-0.054483183,-0.44108385
Northern hemisphere,,1860,-0.45903206,-0.26152587,-0.65653825
Northern hemisphere,,1861,-0.40521327,-0.16020836,-0.6502182
Northern hemisphere,,1862,-0.70151186,-0.45543528,-0.94758844
Northern hemisphere,,1863,-0.30116072,-0.028367957,-0.5739535
Northern hemisphere,,1864,-0.46170026,-0.20519777,-0.7182027
Northern hemisphere,,1865,-0.36730298,-0.07955684,-0.65504915
Northern hemisphere,,1866,-0.37378374,-0.117980525,-0.62958694
Northern hemisphere,,1867,-0.4051548,-0.1180726,-0.692237
Northern hemisphere,,1868,-0.358445,-0.10097435,-0.61591566
Northern hemisphere,,1869,-0.2488066,-0.023617476,-0.47399572
Northern hemisphere,,1870,-0.31214142,-0.10993689,-0.51434594
Northern hemisphere,,1871,-0.4409196,-0.21906663,-0.6627726
Northern hemisphere,,1872,-0.35715973,-0.15433463,-0.5599848
Northern hemisphere,,1873,-0.37552434,-0.18013076,-0.5709179
Northern hemisphere,,1874,-0.29373273,-0.09407458,-0.4933909
Northern hemisphere,,1875,-0.48372233,-0.28744656,-0.6799981
Northern hemisphere,,1876,-0.43496624,-0.2524682,-0.6174643
Northern hemisphere,,1877,-0.1013623,0.076767854,-0.27949247
Northern hemisphere,,1878,0.07121073,0.241525,-0.09910354
Northern hemisphere,,1879,-0.33624864,-0.15824309,-0.51425415
Northern hemisphere,,1880,-0.38399777,-0.20329948,-0.564696
Northern hemisphere,,1881,-0.28404993,-0.11507452,-0.45302534
Northern hemisphere,,1882,-0.37297913,-0.19956523,-0.54639304
Northern hemisphere,,1883,-0.42706347,-0.2677549,-0.586372
Northern hemisphere,,1884,-0.63446146,-0.48669806,-0.78222483
Northern hemisphere,,1885,-0.50963664,-0.3651323,-0.65414095
Northern hemisphere,,1886,-0.4454663,-0.30295312,-0.5879795
Northern hemisphere,,1887,-0.49421906,-0.3401963,-0.6482418
Northern hemisphere,,1888,-0.37244922,-0.21291286,-0.5319856
Northern hemisphere,,1889,-0.26046592,-0.10233628,-0.41859558
Northern hemisphere,,1890,-0.5236722,-0.35745075,-0.68989366
Northern hemisphere,,1891,-0.411902,-0.24040791,-0.5833961
Northern hemisphere,,1892,-0.57606024,-0.409722,-0.7423985
Northern hemisphere,,1893,-0.5567236,-0.38847166,-0.72497547
Northern hemisphere,,1894,-0.44259676,-0.27804273,-0.6071508
Northern hemisphere,,1895,-0.44512075,-0.28192785,-0.6083137
Northern hemisphere,,1896,-0.2934403,-0.13634375,-0.45053688
Northern hemisphere,,1897,-0.25156042,-0.08939791,-0.4137229
Northern hemisphere,,1898,-0.430447,-0.27788574,-0.5830083
Northern hemisphere,,1899,-0.33304518,-0.1804844,-0.48560596
Northern hemisphere,,1900,-0.19793019,-0.051865637,-0.34399474
Northern hemisphere,,1901,-0.21490718,-0.05944943,-0.37036493
Northern hemisphere,,1902,-0.4598677,-0.30658057,-0.61315477
Northern hemisphere,,1903,-0.5050607,-0.36263797,-0.64748335
Northern hemisphere,,1904,-0.5782725,-0.4325377,-0.7240073
Northern hemisphere,,1905,-0.40350583,-0.27396703,-0.53304464
Northern hemisphere,,1906,-0.26031113,-0.113967925,-0.4066543
Northern hemisphere,,1907,-0.5365565,-0.41054425,-0.6625687
Northern hemisphere,,1908,-0.47776186,-0.3479727,-0.60755104
Northern hemisphere,,1909,-0.49360988,-0.37560868,-0.61161107
Northern hemisphere,,1910,-0.49123242,-0.36666557,-0.61579925
Northern hemisphere,,1911,-0.45294377,-0.33737597,-0.5685116
Northern hemisphere,,1912,-0.5300647,-0.41882458,-0.6413048
Northern hemisphere,,1913,-0.4944625,-0.38180992,-0.60711503
Northern hemisphere,,1914,-0.26884878,-0.16238123,-0.3753163
Northern hemisphere,,1915,-0.1752556,-0.0677301,-0.2827811
Northern hemisphere,,1916,-0.4431951,-0.33354548,-0.5528447
Northern hemisphere,,1917,-0.58421886,-0.47564363,-0.692794
Northern hemisphere,,1918,-0.46904504,-0.36327907,-0.57481104
Northern hemisphere,,1919,-0.3719407,-0.2618616,-0.4820198
Northern hemisphere,,1920,-0.30879715,-0.19534856,-0.42224574
Northern hemisphere,,1921,-0.16289015,-0.05600067,-0.26977965
Northern hemisphere,,1922,-0.3022349,-0.19574122,-0.40872857
Northern hemisphere,,1923,-0.2549076,-0.16098836,-0.34882686
Northern hemisphere,,1924,-0.19226864,-0.09627851,-0.2882588
Northern hemisphere,,1925,-0.16809559,-0.07268898,-0.2635022
Northern hemisphere,,1926,-0.0014924591,0.09453933,-0.09752425
Northern hemisphere,,1927,-0.10637508,-0.024012256,-0.1887379
Northern hemisphere,,1928,-0.0869375,0.0031310436,-0.17700604
Northern hemisphere,,1929,-0.33608702,-0.25115886,-0.4210152
Northern hemisphere,,1930,-0.030012257,0.055881523,-0.11590604
Northern hemisphere,,1931,0.04586281,0.13172504,-0.039999425
Northern hemisphere,,1932,-0.037433565,0.050302293,-0.12516943
Northern hemisphere,,1933,-0.2650514,-0.18164818,-0.3484546
Northern hemisphere,,1934,-0.05340261,0.023465678,-0.1302709
Northern hemisphere,,1935,-0.08655061,-0.009179134,-0.16392209
Northern hemisphere,,1936,-0.06099552,0.012351797,-0.13434283
Northern hemisphere,,1937,0.121766135,0.20081595,0.042716328
Northern hemisphere,,1938,0.15948811,0.23210078,0.08687543
Northern hemisphere,,1939,0.05339112,0.13155133,-0.02476908
Northern hemisphere,,1940,0.121980764,0.20718782,0.036773704
Northern hemisphere,,1941,0.075490244,0.23546256,-0.084482074
Northern hemisphere,,1942,0.060141113,0.20882967,-0.08854745
Northern hemisphere,,1943,0.11247741,0.26427612,-0.039321292
Northern hemisphere,,1944,0.22006534,0.37537137,0.06475929
Northern hemisphere,,1945,0.08353448,0.24333929,-0.07627033
Northern hemisphere,,1946,-0.011474103,0.10103278,-0.123980984
Northern hemisphere,,1947,0.044209264,0.1457752,-0.057356674
Northern hemisphere,,1948,-0.0007787574,0.096580245,-0.09813776
Northern hemisphere,,1949,-0.06751221,0.010986996,-0.14601141
Northern hemisphere,,1950,-0.19089268,-0.12730163,-0.25448373
Northern hemisphere,,1951,0.053849187,0.10403101,0.003667366
Northern hemisphere,,1952,0.06981737,0.12473611,0.014898636
Northern hemisphere,,1953,0.2065791,0.26373556,0.14942265
Northern hemisphere,,1954,-0.031117765,0.020048998,-0.08228453
Northern hemisphere,,1955,-0.12558745,-0.07102727,-0.18014763
Northern hemisphere,,1956,-0.2791294,-0.22461224,-0.3336465
Northern hemisphere,,1957,-0.0357678,0.015052779,-0.086588375
Northern hemisphere,,1958,0.082695685,0.1291432,0.036248185
Northern hemisphere,,1959,0.047075693,0.09297406,0.0011773292
Northern hemisphere,,1960,0.00039649167,0.040381707,-0.039588723
Northern hemisphere,,1961,-0.0067307404,0.027908182,-0.04136966
Northern hemisphere,,1962,0.048205677,0.084408864,0.012002493
Northern hemisphere,,1963,0.07036421,0.10955616,0.031172257
Northern hemisphere,,1964,-0.26100203,-0.22459559,-0.29740846
Northern hemisphere,,1965,-0.19513267,-0.1556255,-0.23463982
Northern hemisphere,,1966,-0.088959984,-0.04828401,-0.12963596
Northern hemisphere,,1967,-0.03913268,-0.0042270115,-0.07403835
Northern hemisphere,,1968,-0.13923827,-0.10928777,-0.16918878
Northern hemisphere,,1969,-0.10033807,-0.068443485,-0.13223265
Northern hemisphere,,1970,-0.12249983,-0.09452218,-0.15047748
Northern hemisphere,,1971,-0.22896296,-0.1993062,-0.2586197
Northern hemisphere,,1972,-0.24988332,-0.22225867,-0.27750796
Northern hemisphere,,1973,0.021601351,0.048390348,-0.0051876446
Northern hemisphere,,1974,-0.24963331,-0.21793681,-0.2813298
Northern hemisphere,,1975,-0.11088221,-0.08326258,-0.13850184
Northern hemisphere,,1976,-0.25186262,-0.2249894,-0.27873582
Northern hemisphere,,1977,0.078970395,0.109537214,0.04840357
Northern hemisphere,,1978,-0.011896549,0.016685698,-0.040478796
Northern hemisphere,,1979,0.031081056,0.05867094,0.00349117
Northern hemisphere,,1980,0.13930698,0.1689727,0.10964124
Northern hemisphere,,1981,0.3399632,0.36973393,0.31019247
Northern hemisphere,,1982,-0.009878171,0.019577613,-0.039333954
Northern hemisphere,,1983,0.19221364,0.2196261,0.16480118
Northern hemisphere,,1984,-0.029621718,-0.003186909,-0.05605653
Northern hemisphere,,1985,-0.05202684,-0.02077245,-0.083281234
Northern hemisphere,,1986,0.062017504,0.08868735,0.035347655
Northern hemisphere,,1987,0.19571495,0.22498795,0.16644193
Northern hemisphere,,1988,0.31566116,0.34324753,0.2880748
Northern hemisphere,,1989,0.21736723,0.245474,0.18926045
Northern hemisphere,,1990,0.46398693,0.49251148,0.43546236
Northern hemisphere,,1991,0.385191,0.41325134,0.35713062
Northern hemisphere,,1992,0.096909195,0.12752189,0.0662965
Northern hemisphere,,1993,0.19244488,0.22104801,0.16384172
Northern hemisphere,,1994,0.3232257,0.3518795,0.29457194
Northern hemisphere,,1995,0.56863606,0.5986008,0.53867126
Northern hemisphere,,1996,0.2917488,0.32099906,0.26249853
Northern hemisphere,,1997,0.53472054,0.56475145,0.50468963
Northern hemisphere,,1998,0.71429116,0.7466318,0.6819505
Northern hemisphere,,1999,0.47636315,0.50733525,0.44539103
Northern hemisphere,,2000,0.48707604,0.5170334,0.45711863
Northern hemisphere,,2001,0.62824297,0.66048414,0.59600174
Northern hemisphere,,2002,0.6687142,0.69896436,0.6384641
Northern hemisphere,,2003,0.72047156,0.7519909,0.6889522
Northern hemisphere,,2004,0.63348985,0.6647055,0.6022742
Northern hemisphere,,2005,0.8313994,0.8632175,0.79958135
Northern hemisphere,,2006,0.7947609,0.82724935,0.76227236
Northern hemisphere,,2007,0.8321025,0.86381155,0.80039334
Northern hemisphere,,2008,0.67170423,0.70359397,0.63981444
Northern hemisphere,,2009,0.7067396,0.7384799,0.67499936
Northern hemisphere,,2010,0.91949964,0.9509712,0.8880281
Northern hemisphere,,2011,0.7253461,0.75655717,0.694135
Northern hemisphere,,2012,0.7843316,0.81832016,0.7503431
Northern hemisphere,,2013,0.77667415,0.8091966,0.7441517
Northern hemisphere,,2014,0.907794,0.9390507,0.8765373
Northern hemisphere,,2015,1.1308407,1.1658427,1.0958387
Northern hemisphere,,2016,1.2551929,1.2865372,1.2238487
Northern hemisphere,,2017,1.1153969,1.1466073,1.0841864
Northern hemisphere,,2018,0.9596617,0.99344534,0.92587805
Northern hemisphere,,2019,1.1437434,1.179197,1.1082898
Northern hemisphere,,2020,1.2759095,1.3148022,1.2370169
Northern hemisphere,,2021,1.0781927,1.1161928,1.0401927
Northern hemisphere,,2022,1.0998019,1.1406531,1.0589505
Northern hemisphere,,2023,1.413866,1.4571795,1.3705524
Northern hemisphere,,2024,1.6230924,1.8641591,1.3820256
Southern hemisphere,,1850,-0.39952648,-0.16463266,-0.6344203
Southern hemisphere,,1851,-0.24745059,-0.0015820131,-0.49331915
Southern hemisphere,,1852,-0.2230961,0.013686325,-0.4598785
Southern hemisphere,,1853,-0.2953167,-0.09696084,-0.49367258
Southern hemisphere,,1854,-0.408352,-0.2359663,-0.58073765
Southern hemisphere,,1855,-0.3482592,-0.17859428,-0.51792413
Southern hemisphere,,1856,-0.30716658,-0.13698311,-0.47735003
Southern hemisphere,,1857,-0.48306343,-0.31725222,-0.64887464
Southern hemisphere,,1858,-0.41892695,-0.2481915,-0.58966243
Southern hemisphere,,1859,-0.31474683,-0.14751346,-0.4819802
Southern hemisphere,,1860,-0.32129827,-0.14846809,-0.49412847
Southern hemisphere,,1861,-0.4530126,-0.26843223,-0.637593
Southern hemisphere,,1862,-0.37122685,-0.183504,-0.5589497
Southern hemisphere,,1863,-0.38732743,-0.18736538,-0.58728945
Southern hemisphere,,1864,-0.4692299,-0.2675319,-0.6709279
Southern hemisphere,,1865,-0.2976597,-0.09729888,-0.4980205
Southern hemisphere,,1866,-0.30879125,-0.098725945,-0.5188566
Southern hemisphere,,1867,-0.30883342,-0.101329826,-0.51633704
Southern hemisphere,,1868,-0.3452093,-0.15202782,-0.5383908
Southern hemisphere,,1869,-0.3843773,-0.20947365,-0.559281
Southern hemisphere,,1870,-0.3437136,-0.19058974,-0.4968375
Southern hemisphere,,1871,-0.29620588,-0.14825721,-0.44415456
Southern hemisphere,,1872,-0.29906142,-0.14696205,-0.45116082
Southern hemisphere,,1873,-0.30706945,-0.16328229,-0.45085666
Southern hemisphere,,1874,-0.45276964,-0.30919933,-0.59633994
Southern hemisphere,,1875,-0.26752955,-0.11974219,-0.4153169
Southern hemisphere,,1876,-0.41325358,-0.25630686,-0.5702003
Southern hemisphere,,1877,-0.10085537,0.053709403,-0.25542015
Southern hemisphere,,1878,-0.09384111,0.055260982,-0.2429432
Southern hemisphere,,1879,-0.27102003,-0.129719,-0.41232103
Southern hemisphere,,1880,-0.24766637,-0.107116766,-0.388216
Southern hemisphere,,1881,-0.18044113,-0.030170908,-0.33071133
Southern hemisphere,,1882,-0.21808103,-0.0819207,-0.35424137
Southern hemisphere,,1883,-0.26588535,-0.13484684,-0.39692387
Southern hemisphere,,1884,-0.3501787,-0.21951486,-0.4808425
Southern hemisphere,,1885,-0.43261054,-0.29519293,-0.5700281
Southern hemisphere,,1886,-0.3963409,-0.2651231,-0.5275587
Southern hemisphere,,1887,-0.50335246,-0.36154824,-0.6451567
Southern hemisphere,,1888,-0.38630855,-0.26121715,-0.5113999
Southern hemisphere,,1889,-0.23932517,-0.09794051,-0.38070983
Southern hemisphere,,1890,-0.49004412,-0.3495878,-0.63050044
Southern hemisphere,,1891,-0.39072788,-0.23712125,-0.54433453
Southern hemisphere,,1892,-0.4390568,-0.2781414,-0.59997225
Southern hemisphere,,1893,-0.43251488,-0.26753289,-0.59749687
Southern hemisphere,,1894,-0.5249311,-0.3602846,-0.6895776
Southern hemisphere,,1895,-0.45238245,-0.29701844,-0.6077465
Southern hemisphere,,1896,-0.27457422,-0.11422582,-0.43492264
Southern hemisphere,,1897,-0.2680399,-0.10403126,-0.43204856
Southern hemisphere,,1898,-0.5411372,-0.37972128,-0.70255315
Southern hemisphere,,1899,-0.37782213,-0.21720915,-0.5384351
Southern hemisphere,,1900,-0.2710576,-0.102716744,-0.4393985
Southern hemisphere,,1901,-0.3719133,-0.20649572,-0.5373309
Southern hemisphere,,1902,-0.4180454,-0.25922891,-0.57686186
Southern hemisphere,,1903,-0.56151354,-0.40609482,-0.71693224
Southern hemisphere,,1904,-0.61674964,-0.46336386,-0.7701354
Southern hemisphere,,1905,-0.41208062,-0.25514448,-0.56901675
Southern hemisphere,,1906,-0.37790647,-0.22589588,-0.52991706
Southern hemisphere,,1907,-0.47159612,-0.3193472,-0.62384504
Southern hemisphere,,1908,-0.5498775,-0.40209574,-0.6976593
Southern hemisphere,,1909,-0.57776445,-0.43349805,-0.7220308
Southern hemisphere,,1910,-0.57058656,-0.4240723,-0.71710086
Southern hemisphere,,1911,-0.6252143,-0.47839046,-0.77203816
Southern hemisphere,,1912,-0.4210126,-0.285502,-0.5565232
Southern hemisphere,,1913,-0.4395597,-0.28364545,-0.59547395
Southern hemisphere,,1914,-0.2560244,-0.09766748,-0.4143813
Southern hemisphere,,1915,-0.20808879,-0.029368281,-0.3868093
Southern hemisphere,,1916,-0.3968512,-0.20543794,-0.5882645
Southern hemisphere,,1917,-0.50142056,-0.2940476,-0.70879346
Southern hemisphere,,1918,-0.37968314,-0.15205519,-0.6073111
Southern hemisphere,,1919,-0.2786374,-0.057793465,-0.49948138
Southern hemisphere,,1920,-0.287913,-0.09002222,-0.48580378
Southern hemisphere,,1921,-0.31799856,-0.1289896,-0.5070075
Southern hemisphere,,1922,-0.3757925,-0.21239601,-0.539189
Southern hemisphere,,1923,-0.38045612,-0.2142751,-0.5466372
Southern hemisphere,,1924,-0.43133476,-0.2631654,-0.5995041
Southern hemisphere,,1925,-0.39618838,-0.22634591,-0.56603086
Southern hemisphere,,1926,-0.24361755,-0.08245839,-0.4047767
Southern hemisphere,,1927,-0.35185212,-0.18770066,-0.51600355
Southern hemisphere,,1928,-0.3259941,-0.15414672,-0.4978415
Southern hemisphere,,1929,-0.448799,-0.27484775,-0.62275034
Southern hemisphere,,1930,-0.32359856,-0.14240856,-0.5047886
Southern hemisphere,,1931,-0.25265816,-0.08054844,-0.42476788
Southern hemisphere,,1932,-0.25348985,-0.090981595,-0.41599813
Southern hemisphere,,1933,-0.37963745,-0.21827076,-0.5410041
Southern hemisphere,,1934,-0.2952711,-0.13371219,-0.45682997
Southern hemisphere,,1935,-0.32556787,-0.16903456,-0.48210117
Southern hemisphere,,1936,-0.27804637,-0.1318702,-0.42422256
Southern hemisphere,,1937,-0.16016403,-0.000933085,-0.31939498
Southern hemisphere,,1938,-0.18388958,-0.026539298,-0.34123987
Southern hemisphere,,1939,-0.13498552,0.036351025,-0.30632207
Southern hemisphere,,1940,0.029890874,0.22196795,-0.1621862
Southern hemisphere,,1941,0.00076835766,0.27106845,-0.26953173
Southern hemisphere,,1942,-0.057328977,0.2169602,-0.33161816
Southern hemisphere,,1943,-0.099634245,0.19119431,-0.3904628
Southern hemisphere,,1944,0.06814493,0.34902382,-0.21273397
Southern hemisphere,,1945,0.002642223,0.28656915,-0.28128472
Southern hemisphere,,1946,-0.22615512,-0.014016082,-0.43829417
Southern hemisphere,,1947,-0.22662048,-0.024534306,-0.42870665
Southern hemisphere,,1948,-0.24854377,-0.051024795,-0.44606274
